iteration,n_annotations,top1_train,top5_train,top1_val,top5_val,unique_annotations,learning_rate,n_score_per_iteration

0,120,0.41,0.87333,0.45,0.855,40,1e-05,300

1,130,0.47667,0.85333,0.44,0.825,40,1e-05,300

2,140,0.42,0.83667,0.43,0.825,40,1e-05,300

3,150,0.43333,0.87667,0.455,0.85,40,1e-05,300

4,160,0.43,0.88667,0.445,0.87,40,1e-05,300

5,170,0.46333,0.87333,0.46,0.885,40,1e-05,300

6,180,0.44333,0.85667,0.425,0.855,40,1e-05,300

7,190,0.43333,0.86,0.405,0.85,40,1e-05,300

8,200,0.44333,0.84,0.42,0.87,40,1e-05,300

9,210,0.42,0.85,0.425,0.845,40,1e-05,300

0,120,0.44333,0.81333,0.425,0.8,40,1e-05,300

1,130,0.40667,0.84667,0.475,0.895,40,1e-05,300

2,140,0.45333,0.83333,0.41,0.835,40,1e-05,300

3,150,0.45333,0.81333,0.425,0.875,40,1e-05,300

4,160,0.44667,0.85,0.47,0.885,40,1e-05,300

5,170,0.41,0.82333,0.425,0.8,40,1e-05,300

6,180,0.43,0.84667,0.46,0.855,40,1e-05,300

7,190,0.45,0.8,0.39,0.8,40,1e-05,300

8,200,0.42,0.82333,0.47,0.845,40,1e-05,300

9,210,0.47333,0.86,0.42,0.865,40,1e-05,300

0,120,0.41333,0.81333,0.4,0.815,40,1e-05,300

1,130,0.45,0.87333,0.395,0.835,40,1e-05,300

2,140,0.52,0.86667,0.465,0.84,40,1e-05,300

3,150,0.43667,0.87,0.51,0.875,40,1e-05,300

4,160,0.49333,0.86,0.51,0.84,40,1e-05,300

5,170,0.45667,0.86333,0.52,0.895,40,1e-05,300

6,180,0.50333,0.88333,0.525,0.865,40,1e-05,300

7,190,0.47,0.85667,0.45,0.85,40,1e-05,300

8,200,0.45,0.86333,0.545,0.9,40,1e-05,300

9,210,0.47667,0.86667,0.5,0.84,40,1e-05,300

0,120,0.39,0.80333,0.505,0.83,40,1e-05,300

1,130,0.48333,0.83,0.46,0.845,40,1e-05,300

2,140,0.42667,0.84,0.465,0.845,40,1e-05,300

3,150,0.5,0.87667,0.515,0.87,40,1e-05,300

4,160,0.50333,0.85333,0.45,0.825,40,1e-05,300

5,170,0.52333,0.9,0.43,0.81,40,1e-05,300

6,180,0.45,0.81,0.52,0.885,40,1e-05,300

7,190,0.55667,0.87,0.57,0.88,40,1e-05,300

8,200,0.46333,0.84333,0.45,0.865,40,1e-05,300

9,210,0.47333,0.84667,0.52,0.905,40,1e-05,300

0,120,0.44333,0.83,0.405,0.845,40,1e-05,300

1,130,0.44333,0.86667,0.485,0.865,40,1e-05,300

2,140,0.42,0.86333,0.465,0.81,40,1e-05,300

3,150,0.43667,0.86,0.465,0.86,40,1e-05,300

4,160,0.42,0.86667,0.435,0.845,40,1e-05,300

5,170,0.49,0.88333,0.455,0.82,40,1e-05,300

6,180,0.49333,0.87,0.47,0.89,40,1e-05,300

7,190,0.46,0.86,0.43,0.87,40,1e-05,300

8,200,0.47333,0.87,0.535,0.85,40,1e-05,300

9,210,0.40667,0.83,0.485,0.855,40,1e-05,300

0,120,0.44,0.81667,0.36,0.785,40,1e-05,300

1,130,0.48,0.88,0.43,0.87,40,1e-05,300

2,140,0.43667,0.84333,0.475,0.85,40,1e-05,300

3,150,0.39667,0.82,0.43,0.82,40,1e-05,300

4,160,0.40333,0.82333,0.345,0.82,40,1e-05,300

5,170,0.47667,0.83333,0.42,0.845,40,1e-05,300

6,180,0.51,0.86667,0.485,0.855,40,1e-05,300

7,190,0.47,0.86,0.42,0.885,40,1e-05,300

8,200,0.47,0.85,0.485,0.875,40,1e-05,300

9,210,0.43667,0.86667,0.525,0.875,40,1e-05,300

0,120,0.48,0.88,0.415,0.84,40,1e-05,300

1,130,0.44667,0.79333,0.51,0.87,40,1e-05,300

2,140,0.44333,0.86333,0.49,0.855,40,1e-05,300

3,150,0.50333,0.88,0.45,0.85,40,1e-05,300

4,160,0.54,0.90667,0.43,0.845,40,1e-05,300

5,170,0.46333,0.85333,0.505,0.87,40,1e-05,300

6,180,0.48333,0.84,0.475,0.89,40,1e-05,300

7,190,0.43667,0.84333,0.5,0.88,40,1e-05,300

8,200,0.48333,0.86,0.475,0.87,40,1e-05,300

9,210,0.46,0.89333,0.44,0.84,40,1e-05,300

0,120,0.43667,0.83667,0.375,0.785,40,1e-05,300

1,130,0.40333,0.83,0.38,0.82,40,1e-05,300

2,140,0.37333,0.84333,0.415,0.88,40,1e-05,300

3,150,0.47,0.9,0.51,0.9,40,1e-05,300

4,160,0.45,0.81,0.385,0.82,40,1e-05,300

5,170,0.36667,0.82,0.41,0.83,40,1e-05,300

6,180,0.39667,0.82333,0.41,0.855,40,1e-05,300

7,190,0.40333,0.81667,0.39,0.86,40,1e-05,300

8,200,0.46,0.86,0.425,0.87,40,1e-05,300

9,210,0.43667,0.89,0.425,0.84,40,1e-05,300

0,120,0.43667,0.82667,0.435,0.87,40,1e-05,300

1,130,0.44667,0.82333,0.4,0.86,40,1e-05,300

2,140,0.38667,0.84,0.53,0.89,40,1e-05,300

3,150,0.48333,0.89,0.44,0.87,40,1e-05,300

4,160,0.46333,0.89,0.43,0.845,40,1e-05,300

5,170,0.39333,0.80667,0.365,0.83,40,1e-05,300

6,180,0.43333,0.83667,0.495,0.925,40,1e-05,300

7,190,0.46,0.86333,0.42,0.855,40,1e-05,300

8,200,0.4,0.85,0.425,0.815,40,1e-05,300

9,210,0.46,0.86333,0.475,0.865,40,1e-05,300

0,120,0.35667,0.81333,0.39,0.835,40,1e-05,300

1,130,0.44667,0.85,0.415,0.86,40,1e-05,300

2,140,0.45667,0.89,0.435,0.86,40,1e-05,300

3,150,0.40667,0.86667,0.47,0.855,40,1e-05,300

4,160,0.48333,0.86,0.4,0.855,40,1e-05,300

5,170,0.44667,0.83,0.475,0.86,40,1e-05,300

6,180,0.41333,0.87,0.455,0.905,40,1e-05,300

7,190,0.51333,0.89333,0.39,0.87,40,1e-05,300

8,200,0.41667,0.88667,0.41,0.875,40,1e-05,300

9,210,0.47333,0.87,0.4,0.86,40,1e-05,300

